2010 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:56 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
NSW,103,Banks,W,0,22206,W Ticket Votes,Labor,ALP,N,N,29229,1911,250,1169,1830,34389
NSW,103,Banks,W,1,21012,"FAULKNER, John",Labor,ALP,Y,Y,176,11,0,2,17,206
NSW,103,Banks,W,2,21016,"THISTLETHWAITE, Matthew",Labor,ALP,Y,N,2,1,0,0,0,3
NSW,103,Banks,W,3,21018,"HUTCHINS, Steve",Labor,ALP,N,Y,4,0,0,1,0,5
NSW,103,Banks,W,4,21020,"MURNAIN, Anne",Labor,ALP,N,N,8,0,0,0,0,8
NSW,103,Banks,W,5,21022,"SEATON, Fiona",Labor,ALP,N,N,5,0,0,2,0,7
NSW,103,Banks,W,6,21025,"McDERMOTT, Hugh",Labor,ALP,N,N,10,0,0,0,0,10
NSW,103,Banks,X,0,22231,X Ticket Votes,,,N,N,16,0,0,1,0,17
NSW,103,Banks,X,1,21995,"STEFANAC, Jennifer",,,N,N,1,0,0,0,0,1
NSW,103,Banks,X,2,21997,"COOLEY, Tucky Tania",,,N,N,1,0,1,0,0,2
NSW,103,Banks,Y,0,22228,Y Ticket Votes,Carers Alliance,CA,N,N,166,9,0,3,25,203
NSW,103,Banks,Y,1,21984,"CARTER, Marylou",Carers Alliance,CA,N,N,31,0,0,0,2,33
NSW,103,Banks,Y,2,21986,"BUCKWALTER, Maree",Carers Alliance,CA,N,N,2,0,0,0,1,3
NSW,103,Banks,Z,0,22205,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),CDP,N,N,1817,118,22,56,118,2131
NSW,103,Banks,Z,1,20990,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),CDP,N,N,97,7,0,1,5,110
NSW,103,Banks,Z,2,20992,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),CDP,N,N,2,1,0,1,0,4
NSW,103,Banks,Z,3,20994,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),CDP,N,N,15,0,0,0,0,15
NSW,103,Banks,AA,0,22210,AA Ticket Votes,Liberal/Nationals,LNP,N,N,28061,1698,214,1017,1932,32922
NSW,103,Banks,AA,1,21762,"FIERRAVANTI-WELLS, Concetta",Liberal,LP,Y,Y,251,9,1,6,25,292
NSW,103,Banks,AA,2,21766,"HEFFERNAN, William",Liberal,LP,Y,Y,64,2,0,1,7,74
NSW,103,Banks,AA,3,21768,"NASH, Fiona",The Nationals,NP,Y,Y,14,1,0,1,0,16
NSW,103,Banks,AA,4,21771,"HUGHES, Hollie",Liberal,LP,N,N,9,0,0,2,2,13
NSW,103,Banks,AA,5,21774,"DENNIS, Joe",The Nationals,NP,N,N,4,0,0,1,0,5
NSW,103,Banks,AA,6,21776,"BILIC, George",Liberal,LP,N,N,10,0,1,0,0,11
NSW,103,Banks,AB,0,22221,AB Ticket Votes,,,N,N,34,0,0,1,4,39
NSW,103,Banks,AB,1,21901,"ECKFORD, Michael",,,N,N,0,1,0,0,0,1
NSW,103,Banks,AB,2,21902,"STEVENS, Criselee",,,N,N,0,0,0,0,0,0
NSW,103,Banks,AC,0,22225,AC Ticket Votes,One Nation,ON,N,N,407,39,2,27,42,517
NSW,103,Banks,AC,1,21824,"WEBBER, Andrew",One Nation,ON,N,N,27,2,0,1,5,35
NSW,103,Banks,AC,2,21827,"BRETT, John",One Nation,ON,N,N,1,0,0,0,0,1
NSW,103,Banks,AD,0,22208,AD Ticket Votes,The Greens,GRN,N,N,5716,566,54,324,253,6913
NSW,103,Banks,AD,1,21147,"RHIANNON, Lee",The Greens,GRN,Y,N,278,16,0,14,12,320
NSW,103,Banks,AD,2,21677,"McILROY, Keith",The Greens,GRN,N,N,13,0,0,0,2,15
NSW,103,Banks,AD,3,21152,"JEGATHEESWARAN, Brami",The Greens,GRN,N,N,6,0,0,1,2,9
NSW,103,Banks,AD,4,21160,"SWIFT, Harriett",The Greens,GRN,N,N,3,1,0,0,0,4
NSW,103,Banks,AD,5,21163,"MORRISSEY, Simone",The Greens,GRN,N,N,7,1,0,1,1,10
NSW,103,Banks,AD,6,21169,"KANAK, Dominic Wy",The Greens,GRN,N,N,9,0,0,1,1,11
NSW,103,Banks,AE,0,22234,AE Ticket Votes,,,N,N,83,3,0,6,8,100
NSW,103,Banks,AE,1,22202,"KERNOT, Cheryl",,,N,N,51,6,0,2,6,65
