Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Granton Pre-Poll,New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Out of Division Pre-Poll,Lyons Postal 1 (Telephone Votes),Lyons Postal 2 and 3,Mobile,Out of Division,Provisional,Total
"SHELTON, Mark",9,33,22,33,109,39,75,8,18,34,100,8,18,8,7,3,135,109,26,19,3,24,11,65,13,29,5,15,139,26,11,11,273,61,21,33,27,11,18,4,45,34,8,41,58,11,11,203,36,6,147,46,19,6,14,80,50,28,13,47,4,9,13,7,85,4,15,"2,653",43,55,192,114,674,130,421,18,393,5,"4,698"
Liberal Party,74,352,212,142,214,615,990,105,277,276,410,128,92,85,67,71,302,693,430,147,116,114,57,314,80,220,102,154,568,158,124,130,769,279,233,118,355,46,122,92,440,343,180,327,747,211,130,797,331,118,498,240,308,107,98,397,797,231,95,349,79,144,238,99,485,107,63,"17,792",427,610,"2,701",617,"3,627",759,"2,557",168,"2,142",81,"31,481"
"BIGG, Phillip",0,6,0,2,0,8,9,0,2,4,2,0,2,2,2,0,2,4,2,2,1,2,1,4,0,2,2,0,5,4,0,3,4,7,11,6,2,1,2,2,10,9,4,4,3,1,1,6,6,3,1,5,7,1,0,6,7,2,4,2,4,0,3,2,5,2,0,206,4,12,22,4,34,8,44,3,27,0,364
"BROOMHALL, Ray",0,0,4,0,0,1,5,3,2,1,1,0,2,1,0,0,3,10,4,0,1,3,1,3,0,2,0,0,3,3,0,1,5,8,0,2,3,0,2,2,4,2,1,0,4,0,0,8,0,2,5,2,3,3,0,1,7,6,3,0,1,3,1,0,3,0,1,136,4,3,23,7,17,19,27,2,16,2,256
"DARE, Paul",0,0,3,0,2,5,2,0,3,1,3,0,0,0,0,2,2,2,2,1,0,0,0,2,0,3,0,1,1,1,0,1,5,5,1,1,2,0,1,2,5,1,2,0,9,1,1,5,2,1,3,2,2,0,1,3,1,2,2,2,1,1,1,3,4,3,0,112,4,7,13,3,15,2,20,1,12,0,189
"DRACOULIS, Michelle",2,8,2,1,4,9,13,2,2,4,9,1,1,1,1,3,5,9,16,10,2,0,1,4,1,5,12,9,11,0,1,11,11,1,13,2,9,0,1,19,82,51,6,2,14,3,1,12,6,2,6,9,5,5,0,9,13,4,4,13,3,1,2,0,9,20,7,505,19,64,33,13,72,23,69,2,43,2,845
"HAWKINS, John",0,3,3,2,0,5,6,0,2,1,4,25,1,1,0,0,4,52,8,0,3,5,2,7,0,3,2,1,7,4,1,0,10,3,0,4,2,2,13,1,4,3,1,1,7,3,3,16,0,1,8,3,7,2,2,10,7,3,1,0,1,0,1,0,14,0,1,286,5,2,13,11,46,12,74,4,22,0,475
"LEV, Jiri",0,2,5,1,8,4,4,1,5,6,2,3,1,1,2,7,2,12,9,4,6,0,0,6,2,1,1,2,9,0,1,1,14,10,1,3,6,2,1,4,3,5,9,0,2,2,1,16,3,3,8,8,9,3,3,4,16,9,12,5,2,0,2,2,8,3,4,291,3,2,45,16,45,15,49,1,28,3,498
"MURTAGH, Tennille",0,0,1,0,1,24,5,1,2,1,0,0,0,1,0,0,0,4,3,1,0,0,1,1,1,4,0,3,2,1,0,1,2,3,1,0,3,0,0,1,8,1,2,1,7,1,1,2,1,2,2,2,1,0,0,1,2,2,1,0,0,0,0,1,3,3,0,112,7,3,16,4,17,0,14,0,18,2,193
ungrouped,2,19,18,6,15,56,44,7,18,18,21,29,7,7,5,12,18,93,44,18,13,10,6,27,4,20,17,16,38,13,3,18,51,37,27,18,27,5,20,31,116,72,25,8,46,11,8,65,18,14,33,31,34,14,6,34,53,28,27,22,12,5,10,8,46,31,13,"1,648",46,93,165,58,246,79,297,13,166,9,"2,820"
Total Formal Ballot Papers,184,758,547,297,410,"1,824","1,922",210,575,632,747,265,303,180,150,215,639,"1,604","1,427",333,322,241,123,815,237,752,233,308,"1,170",283,330,392,"1,888",547,417,289,928,149,258,302,"1,286",865,628,647,"1,607",420,290,"1,879",668,419,"1,023",579,785,276,316,876,"1,828",783,448,704,254,257,489,198,"1,198",317,203,"42,449",943,"1,545","6,490","1,877","7,876","1,743","6,280",448,"5,070",215,"74,936"
Informal Ballot Papers,16,83,40,28,33,224,173,17,34,53,55,14,17,14,8,17,50,125,99,25,32,18,9,37,24,128,15,29,85,21,23,31,133,34,42,13,51,12,17,24,113,100,34,55,104,12,36,171,51,43,55,43,31,24,21,76,129,62,25,50,22,14,43,18,87,29,31,"3,382",59,121,433,105,428,15,200,56,481,13,"5,293"
Total Ballot Papers,200,841,587,325,443,"2,048","2,095",227,609,685,802,279,320,194,158,232,689,"1,729","1,526",358,354,259,132,852,261,880,248,337,"1,255",304,353,423,"2,021",581,459,302,979,161,275,326,"1,399",965,662,702,"1,711",432,326,"2,050",719,462,"1,078",622,816,300,337,952,"1,957",845,473,754,276,271,532,216,"1,285",346,234,"45,831","1,002","1,666","6,923","1,982","8,304","1,758","6,480",504,"5,551",228,"80,229"
