2016 Federal Election Polling Places [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:58 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192],,,,,,,,,,,,,,
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
NSW,103,Banks,67,1,Allawah South,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221,-33.9756,151.111
NSW,103,Banks,56500,1,Beverly Hills North (Banks),Beverly Hills North Public School,cnr Shorter Ave & King Georges Rd,,,BEVERLY HILLS,NSW,2209,-33.9413,151.075
NSW,103,Banks,79612,1,Beverly Hills South (Banks),Beverly Hills Public School,cnr Stoney Creek & King Georges Rds,,,BEVERLY HILLS,NSW,2209,-33.9528,151.085
NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221,-33.9814,151.113
NSW,103,Banks,65425,5,BLV Banks PPVC,BLV Banks,"Level 1, 145 Forest Rd",,,HURSTVILLE,NSW,2220,-33.9674459,151.1065776
NSW,103,Banks,56472,1,Carlton South (Banks),Carlton South Public School,Jubilee Avenue,,,CARLTON,NSW,2218,-33.9727,151.128
NSW,103,Banks,65,1,Carlton West,St Cuthbert's Church Hall,34 Park Rd,,,CARLTON,NSW,2218,-33.9763447,151.1206652
NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221,-33.9855,151.1
NSW,103,Banks,30094,5,Divisional Office (PREPOLL),Divisional Office,Level 1,145 Forest Road,,HURSTVILLE,NSW,2220,-33.967618,151.106362
NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,,,EAST HILLS,NSW,2213,-33.9611817,150.982054
NSW,103,Banks,79613,1,Hurstville (Banks),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102
NSW,103,Banks,34046,5,Hurstville BANKS PPVC,"Suite 152, Level 5",10 Park Rd,,,HURSTVILLE,NSW,2220,,
NSW,103,Banks,79614,1,Hurstville East (Banks),Hurstville Public School,Forest Rd,,,HURSTVILLE,NSW,2220,-33.9641,151.111
NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222,-33.9729154,151.0909386
NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,Maher St,,,HURSTVILLE,NSW,2220,-33.9726,151.099
NSW,103,Banks,4,1,Lugarno,Lugarno Public School,Old Forest Rd,,,LUGARNO,NSW,2210,-33.985015,151.0454806
NSW,103,Banks,55,1,Mortdale Central,Mortdale Pensioners Welfare Club,76 Pitt St,,,MORTDALE,NSW,2223,-33.9729046,151.0773353
NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223,-33.9727,151.081
NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223,-33.9615619,151.0731878
