Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Barton,104,Canterbury South,Canterbury South Public School,20 High St,,,CANTERBURY,NSW,2193,-33.91764976,151.1152778
NSW,Barton,104,Carlton,Carlton Public School,60 Cameron St,,,BEXLEY,NSW,2207,-33.9624,151.124
NSW,Barton,104,Carlton South (Barton),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218,-33.9727,151.128
NSW,Barton,104,Central Sydney (Barton),TAFE NSW Ultimo Campus,2-10 Mary Ann St,,,ULTIMO,NSW,2007,-33.88149062,151.1977579
NSW,Barton,104,Clemton Park,Clemton Park Public School,185 Bexley Rd,,,KINGSGROVE,NSW,2208,-33.92968096,151.1084065
NSW,Barton,104,Clemton Park West,Clemton Park Uniting Church,6 Dunkirk Ave,,,KINGSGROVE,NSW,2208,-33.9293087,151.107149
NSW,Barton,104,Earlwood,Earlwood Uniting Church Hall,16 William St,,,EARLWOOD,NSW,2206,-33.9274,151.123
NSW,Barton,104,Earlwood Central,Our Lady of Lourdes Church Hall,St James Ave,,,EARLWOOD,NSW,2206,-33.9281,151.127
NSW,Barton,104,Earlwood South,Earlwood Public School,396 Homer St,,,EARLWOOD,NSW,2206,-33.9283,151.124
NSW,Barton,104,Hurlstone Park (Barton),CDC Studios,67 Duntroon St,,,HURLSTONE PARK,NSW,2193,-33.908507,151.132444
NSW,Barton,104,Hurstville (Barton),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102
NSW,Barton,104,Hurstville East (Barton),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220,-33.96478195,151.1105313
NSW,Barton,104,Hurstville North,Kingsway Scout Hall,74 Barnards Ave,,,HURSTVILLE,NSW,2220,-33.95424395,151.0962019
NSW,Barton,104,Kingsgrove,South-West Evangelical Church Hall,4 Morgan St,,,KINGSGROVE,NSW,2208,-33.9426292,151.1008884
NSW,Barton,104,Kingsgrove North (Barton),Kingsgrove North High School,2-10 St Albans Rd,,,KINGSGROVE,NSW,2208,-33.93361334,151.0975858
NSW,Barton,104,Kingsgrove South,Kingsgrove High School,333 Kingsgrove Rd,,,KINGSGROVE,NSW,2208,-33.94898463,151.1017425
NSW,Barton,104,Kogarah Central,Kogarah High School,22A Gladstone St,,,KOGARAH,NSW,2217,-33.96102763,151.1350924
NSW,Barton,104,Kogarah West,Kogarah West Senior Citizens Centre,15 Taylor St,,,KOGARAH,NSW,2217,-33.9641,151.131
NSW,Barton,104,Kyeemagh,Kyeemagh Public School,cnr Jacobson Ave & Beehag St,,,KYEEMAGH,NSW,2216,-33.9497,151.161
NSW,Barton,104,Marrickville Park,,,,,,,,,
NSW,Barton,104,Marrickville Park (Barton),Marrickville Uniting Church,Thomas Roseby Lodge,388-390 Illawarra Rd,,MARRICKVILLE,NSW,2204,-33.9154803,151.1503777
NSW,Barton,104,Marrickville South,Ferncourt Public School,74 Premier St,,,MARRICKVILLE,NSW,2204,-33.92094128,151.151864
NSW,Barton,104,Marrickville West,,,,,,,,,
NSW,Barton,104,Marrickville West (Barton),Marrickville West Public School,cnr Beauchamp St & Livingstone Rd,,,MARRICKVILLE,NSW,2204,-33.914973,151.1452667
NSW,Barton,104,Rockdale,Rockdale Public School,4 Lord St,,,ROCKDALE,NSW,2216,-33.95188129,151.1416515
NSW,Barton,104,Rockdale Central,Rockdale Uniting Church Hall,5 Bay St,,,ROCKDALE,NSW,2216,-33.9535856,151.138406
NSW,Barton,104,Rockdale City,Rockdale Senior Citizens Centre,36 George St,,,ROCKDALE,NSW,2216,-33.9506804,151.1409198
