2025 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:12 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
VIC,226,McEwen,C,1,41435,"JEGES, Helen",Animal Justice Party,AJP,N,N,67,4,0,1,22,94
VIC,226,McEwen,C,2,41437,"McMILLAN, Benjamin",Animal Justice Party,AJP,N,N,8,1,0,0,3,12
VIC,226,McEwen,D,0,42175,D Above-the-line Votes,Indigenous - Aboriginal Party of Australia,IAP,N,N,359,42,2,29,102,534
VIC,226,McEwen,D,1,42103,"AUSTIN-ABDULLAH, Racquel",Indigenous - Aboriginal Party of Australia,IAP,N,N,28,2,0,1,8,39
VIC,226,McEwen,D,2,42104,"AL-SAIMARY, Laylah",Indigenous - Aboriginal Party of Australia,IAP,N,N,2,1,0,0,1,4
VIC,226,McEwen,E,0,42172,E Above-the-line Votes,Australia's Voice,AV,N,N,507,62,2,29,127,727
VIC,226,McEwen,E,1,42060,"EL-MASRI, Mohamed",Australia's Voice,AV,N,N,20,1,0,2,6,29
VIC,226,McEwen,E,2,42064,"KAUR, Harsimran",Australia's Voice,AV,N,N,15,2,1,0,5,23
VIC,226,McEwen,E,3,42069,"EL ACHKAR, Rasheed",Australia's Voice,AV,N,N,0,0,0,0,4,4
VIC,226,McEwen,F,0,42169,F Above-the-line Votes,FUSION | Planet Rescue | Whistleblower Protection | Innovation,SOPA,N,N,277,18,0,4,82,381
VIC,226,McEwen,F,1,41812,"CORDNER HUNT, Kammy",FUSION | Planet Rescue | Whistleblower Protection | Innovation,SOPA,N,N,27,0,0,2,8,37
