2022 Federal Election Senate First Preferences By Polling Place for Division 195 [Please Note: These results are not final. Event:27966 Phase:PostElection Generated:2022-05-22T11:49:26 Cycle:6c9d3b19-37c4-4379-9a72-7a34850cb5be Created:2022-05-22T11:47:28 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,195,Franklin,8493,Adventure Bay,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,195,Franklin,8493,Adventure Bay,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,195,Franklin,8493,Adventure Bay,H,0,9998,Unapportioned,The Local Party,1
TAS,195,Franklin,8493,Adventure Bay,I,37938,0,I Above-the-line Votes,The Greens,0
TAS,195,Franklin,8493,Adventure Bay,I,37423,1,"WHISH-WILSON, Peter",The Greens,0
TAS,195,Franklin,8493,Adventure Bay,I,37427,2,"BLEYER, Vanessa",The Greens,0
TAS,195,Franklin,8493,Adventure Bay,I,37431,3,"BADGER, Tabatha",The Greens,0
TAS,195,Franklin,8493,Adventure Bay,I,0,9998,Unapportioned,The Greens,31
TAS,195,Franklin,8493,Adventure Bay,J,37935,0,J Above-the-line Votes,Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,J,37012,1,"FIELD, Topher",Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,J,0,9998,Unapportioned,Liberal Democrats,3
TAS,195,Franklin,8493,Adventure Bay,K,37930,0,K Above-the-line Votes,United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,K,36282,1,"ADAMS, Diana",United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,K,0,9998,Unapportioned,United Australia Party,3
TAS,195,Franklin,8493,Adventure Bay,L,37937,0,L Above-the-line Votes,Liberal,0
TAS,195,Franklin,8493,Adventure Bay,L,37124,1,"DUNIAM, Jonno",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,L,37131,2,"ASKEW, Wendy",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,L,37132,3,"ABETZ, Eric",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,L,0,9998,Unapportioned,Liberal,40
TAS,195,Franklin,8493,Adventure Bay,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,M,0,9998,Unapportioned,Jacqui Lambie Network,14
TAS,195,Franklin,8493,Adventure Bay,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,0
TAS,195,Franklin,8493,Adventure Bay,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
TAS,195,Franklin,8493,Adventure Bay,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,195,Franklin,8493,Adventure Bay,N,0,9998,Unapportioned,Informed Medical Options Party,0
TAS,195,Franklin,8493,Adventure Bay,UG,37794,1,"CROTHERS, Steve",Independent,1
TAS,195,Franklin,8493,Adventure Bay,UG,36253,2,"EDWARDS, Fenella",Independent,1
TAS,195,Franklin,8493,Adventure Bay,ZZ,0,99,INFORMAL,,13
TAS,195,Franklin,8494,Alonnah,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,195,Franklin,8494,Alonnah,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,195,Franklin,8494,Alonnah,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,195,Franklin,8494,Alonnah,A,0,9998,Unapportioned,Sustainable Australia Party - Stop Overdevelopment / Corruption,4
TAS,195,Franklin,8494,Alonnah,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,B,0,9998,Unapportioned,Pauline Hanson's One Nation,3
TAS,195,Franklin,8494,Alonnah,C,37934,0,C Above-the-line Votes,Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,C,36512,1,"DAVIS, Ivan",Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,C,0,9998,Unapportioned,Animal Justice Party,2
TAS,195,Franklin,8494,Alonnah,D,37940,0,D Above-the-line Votes,Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37063,1,"URQUHART, Anne",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37079,2,"POLLEY, Helen",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37103,4,"HULME, Daniel",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,37119,6,"GOURLAY, Chris",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,D,0,9998,Unapportioned,Australian Labor Party,48
TAS,195,Franklin,8494,Alonnah,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,0
TAS,195,Franklin,8494,Alonnah,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,0
TAS,195,Franklin,8494,Alonnah,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,0
TAS,195,Franklin,8494,Alonnah,E,0,9998,Unapportioned,Legalise Cannabis Australia,11
TAS,195,Franklin,8494,Alonnah,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8494,Alonnah,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8494,Alonnah,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8494,Alonnah,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8494,Alonnah,F,0,9998,Unapportioned,"Shooters, Fishers and Farmers Party",4
TAS,195,Franklin,8494,Alonnah,G,37943,0,G Above-the-line Votes,Australian Federation Party,0
TAS,195,Franklin,8494,Alonnah,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,0
TAS,195,Franklin,8494,Alonnah,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,195,Franklin,8494,Alonnah,G,0,9998,Unapportioned,Australian Federation Party,1
TAS,195,Franklin,8494,Alonnah,H,37931,0,H Above-the-line Votes,The Local Party,0
TAS,195,Franklin,8494,Alonnah,H,37054,1,"MINSHULL, Leanne",The Local Party,0
TAS,195,Franklin,8494,Alonnah,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,195,Franklin,8494,Alonnah,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,195,Franklin,8494,Alonnah,H,0,9998,Unapportioned,The Local Party,8
TAS,195,Franklin,8494,Alonnah,I,37938,0,I Above-the-line Votes,The Greens,0
TAS,195,Franklin,8494,Alonnah,I,37423,1,"WHISH-WILSON, Peter",The Greens,0
TAS,195,Franklin,8494,Alonnah,I,37427,2,"BLEYER, Vanessa",The Greens,0
TAS,195,Franklin,8494,Alonnah,I,37431,3,"BADGER, Tabatha",The Greens,0
TAS,195,Franklin,8494,Alonnah,I,0,9998,Unapportioned,The Greens,72
TAS,195,Franklin,8494,Alonnah,J,37935,0,J Above-the-line Votes,Liberal Democrats,0
TAS,195,Franklin,8494,Alonnah,J,37012,1,"FIELD, Topher",Liberal Democrats,0
TAS,195,Franklin,8494,Alonnah,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,195,Franklin,8494,Alonnah,J,0,9998,Unapportioned,Liberal Democrats,0
TAS,195,Franklin,8494,Alonnah,K,37930,0,K Above-the-line Votes,United Australia Party,0
TAS,195,Franklin,8494,Alonnah,K,36282,1,"ADAMS, Diana",United Australia Party,0
TAS,195,Franklin,8494,Alonnah,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,195,Franklin,8494,Alonnah,K,0,9998,Unapportioned,United Australia Party,2
TAS,195,Franklin,8494,Alonnah,L,37937,0,L Above-the-line Votes,Liberal,0
TAS,195,Franklin,8494,Alonnah,L,37124,1,"DUNIAM, Jonno",Liberal,0
TAS,195,Franklin,8494,Alonnah,L,37131,2,"ASKEW, Wendy",Liberal,0
TAS,195,Franklin,8494,Alonnah,L,37132,3,"ABETZ, Eric",Liberal,0
TAS,195,Franklin,8494,Alonnah,L,0,9998,Unapportioned,Liberal,62
TAS,195,Franklin,8494,Alonnah,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,0
