PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Heybridge,9,266,3.4,Braddon,Montgomery,Central Coast,"Sice Ave, HEYBRIDGE 7316",Blythe Heads Hall,-41.0751,145.986
Highclere,3,135,2.2,Braddon,Montgomery,Burnie City,"1558 Ridgley Hwy, HIGHCLERE 7321",Highclere Community Centre,-41.1904,145.806
Irishtown,1,326,0.3,Braddon,Murchison,Circular Head,"604 Irishtown Rd, IRISHTOWN 7330",Irishtown Lodge Arthur Temple,-40.9133,145.145
Latrobe,59,2295,2.6,Braddon,Mersey,Latrobe,"23 Lewis St, LATROBE 7307",Latrobe Primary School,-41.239619,146.416013
Marrawah,6,219,2.7,Braddon,Murchison,Circular Head,"844 Comeback Rd, MARRAWAH 7330",Marrawah Memorial Hall,-40.9229,144.697
Melrose,12,227,5.3,Braddon,Mersey,Devonport City,"673 Melrose Rd, MELROSE 7310",Melrose Memorial Hall,-41.2417,146.289
Montello,30,1128,2.7,Braddon,Murchison,Burnie City,"83 Bird St, MONTELLO 7320",Montello Primary School,-41.0605,145.898
Moorleah,9,183,4.9,Braddon,Murchison,Waratah-Wynyard,"720 Preolenna Rd, MOORLEAH 7321",Moorleah Community Centre,-40.981,145.616
Natone,9,134,6.7,Braddon,Montgomery,Burnie City,"100 Upper Natone Rd, NATONE 7321",Natone Primary School,-41.1701,145.922
North Motton,17,291,5.8,Braddon,Montgomery,Central Coast,"578 Preston Rd, NORTH MOTTON 7315",North Motton Hall,-41.20637,146.10936999999998
Penguin,105,1982,5.3,Braddon,Montgomery,Central Coast,"50 Main Rd, PENGUIN 7316",Penguin Uniting Church Hall,-41.112,146.071
Preston,9,116,7.8,Braddon,Montgomery,Central Coast,"1833 Preston Rd, PRESTON 7315",Preston Community Centre,-41.2972,146.062
Queenstown,24,729,3.3,Braddon,Murchison,West Coast,"Hunter St, QUEENSTOWN 7467",West Coast Community Services Hub,-42.078959000000005,145.555963
Riana,10,197,5.1,Braddon,Montgomery,Central Coast,"1221 Pine Rd, RIANA 7316",Riana Community Centre,-41.2015,145.999
Ridgley,15,615,2.4,Braddon,Montgomery,Burnie City,"904 Ridgley Hwy, RIDGLEY 7321",Ridgley Primary School,-41.1398,145.837
Rocky Cape,7,401,1.7,Braddon,Murchison,Circular Head,"19074 Bass Hwy, ROCKY CAPE 7321",Rocky Cape Public Hall,-40.905,145.487
Romaine,20,1288,1.6,Braddon,Montgomery,Burnie City,"cnr Roslyn Ave & Mount St, ROMAINE 7320",Romaine Park Primary School,-41.076634000000006,145.899584
Rosebery,4,298,1.3,Braddon,Murchison,West Coast,"8 Agnes St, ROSEBERY 7470",Rosebery Neighbourhood Centre,-41.779832,145.539126
