PollingPlaceNm,DivisionNm,GreensVotes_2024,TotalVotes_2024,GreensPercentage_2024,SwingPercentage,PremisesNm_2024,PremisesAddress_2024,Latitude,Longitude,LegCo,LocalCouncil
Ulverstone East,Braddon,58,804,7.2,3.1,East Ulverstone Primary School,"18 Crawford St, ULVERSTONE 7315",-41.1546,146.192,Montgomery,Central Coast
Ulverstone South,Braddon,127,1871,6.8,1.6,Ulverstone High School,"38 Leven St, ULVERSTONE 7315",-41.16201,146.17091,Montgomery,Central Coast
Waratah,Braddon,17,139,12.2,1.4,Waratah Municipal Chambers,"12-14 Smith St, WARATAH 7321",-41.44422,145.5313,Murchison,Waratah-Wynyard
Wesley Vale,Braddon,25,428,5.8,-0.8,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-41.188828,146.456401,Mersey,Latrobe
West Ulverstone,Braddon,100,1559,6.4,1.5,West Ulverstone Primary School,"34 Maud St, WEST ULVERSTONE 7315",-41.1482,146.16,Montgomery,Central Coast
Wivenhoe,Braddon,17,292,5.8,1.6,Leighland Christian School (Wivenhoe Campus),"Stowport Rd, WIVENHOE 7320",-41.06904,145.93609,Montgomery,Burnie City
Wynyard Central,Braddon,100,1769,5.7,1.8,Wynyard Senior Citizens Club Rooms,"28 Jackson St, WYNYARD 7325",-40.9909,145.729,Murchison,Waratah-Wynyard
Wynyard West,Braddon,58,1225,4.7,0.1,Wynyard High School,"30 Church St, WYNYARD 7325",-40.9867,145.717,Murchison,Waratah-Wynyard
Yolla,Braddon,11,288,3.8,-2.9,Yolla District High School,"School Lane, YOLLA 7325",-41.1237,145.719,Murchison,Waratah-Wynyard
Zeehan,Braddon,12,370,3.2,-1.6,Zeehan Primary School,"7 Belstead St, ZEEHAN 7469",-41.888,145.34,Murchison,West Coast
Austins Ferry,Clark,96,1652,5.8,-1.0,St Virgil's College,"195 Main Rd, AUSTINS FERRY 7011",-42.774487,147.251105,Derwent,Glenorchy City
Battery Point,Clark,223,787,28.3,-0.3,St George's Church Hall,"28 Cromwell St, BATTERY POINT 7004",-42.891559,147.332663,Hobart,Hobart City
Battery Point West,Clark,123,431,28.5,1.5,Albuera Street Primary School,"10A Albuera St, BATTERY POINT 7004",-42.8912,147.326,Hobart,Hobart City
Cascades,Clark,521,1052,49.5,7.8,South Hobart Primary School,"59 Anglesea St, SOUTH HOBART 7004",-42.892494,147.310633,Hobart,Hobart City
