PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Blessington Upper,Bass,6,57,10.5,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-41.48243,147.50494,Windermere,Launceston City,11,84,13.1,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-2.6
Branxholm,Bass,13,180,7.2,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset,21,184,11.4,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-4.2
Bridport,Bass,55,1077,5.1,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset,74,1085,6.8,Bridport Hall,"Main St, BRIDPORT 7262",-1.7
Derby,Bass,28,105,26.7,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset,16,101,15.8,Derby Town Hall,"1 Krushka St, DERBY 7264",10.9
Dilston,Bass,96,675,14.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City,119,633,18.8,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-4.6
East Launceston,Bass,219,1242,17.6,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City,241,954,25.3,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-7.7
Five Ways,Bass,145,1130,12.8,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.45908,147.15402,Launceston,Launceston City,192,1306,14.7,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-1.9
George Town,Bass,102,1705,6.0,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town,139,1667,8.3,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-2.3
George Town South,Bass,33,896,3.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town,58,892,6.5,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-2.8
Gladstone,Bass,12,174,6.9,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset,17,152,11.2,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-4.3
Hadspen,Lyons,55,1203,4.6,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-41.5064,147.064,Launceston,Meander Valley,66,1088,6.1,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-1.5
Hillwood,Bass,48,458,10.5,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town,64,375,17.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-6.6
Inveresk,Bass,154,1155,13.3,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City,144,949,15.2,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-1.9
Invermay,Bass,133,1165,11.4,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City,203,1368,14.8,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-3.4
Karoola,Bass,29,333,8.7,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City,39,295,13.2,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-4.5
Kings Meadows,Bass,140,2119,6.6,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City,186,2062,9.0,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-2.4
Lady Barron,Bass,10,125,8.0,Holloway Park Building,"Barr St, LADY BARRON 7255",-40.2105,148.24342,McIntyre,Flinders,13,119,10.9,Holloway Park Building,"Barr St, LADY BARRON 7255",-2.9
Launceston,Bass,236,1084,21.8,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.4366,147.137,Launceston,Launceston City,219,924,23.7,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-1.9
Launceston Central,Bass,205,979,20.9,Chalmers Hall,"163 St John St, LAUNCESTON 7250",-41.441,147.14205,Launceston,Launceston City,193,842,22.9,Launceston Central Polling Booth,"85a George St, LAUNCESTON 7250",-2.0
Lebrina,Bass,20,210,9.5,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.228,Windermere,Launceston City,31,205,15.1,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-5.6
Legana (Bass),Bass,146,1954,7.5,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar,214,1751,12.2,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-4.7
Lilydale,Bass,95,674,14.1,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City,152,696,21.8,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-7.7
Mowbray,Bass,91,889,10.2,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.40814,147.131059,Windermere,Launceston City,90,942,9.6,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",0.6
Newnham,Bass,140,2672,5.2,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City,204,2673,7.6,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-2.4
Newstead,Bass,277,2167,12.8,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.4472,147.157,Launceston,Launceston City,248,1458,17.0,Newstead Baptist Church,"14 Wentworth St, NEWSTEAD 7250",-4.2
Norwood,Bass,169,2306,7.3,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City,217,2277,9.5,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-2.2
Nunamara,Bass,28,296,9.5,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City,39,228,17.1,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-7.6
Pipers River,Bass,19,210,9.0,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town,27,226,11.9,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-2.9
Prospect,Bass,88,2048,4.3,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472,147.126,Rosevears,Launceston City,135,1966,6.9,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-2.6
Prospect Vale,Lyons,60,1214,4.9,Residential Retirement Village Clubrooms,"12 Casino Rise, PROSPECT VALE 7250",-41.4782,147.11,Launceston,Meander Valley,96,1200,8.0,Residential Retirement Village Clubrooms,"12 Casino Rise, PROSPECT VALE 7250",-3.1
Ravenswood,Bass,76,1564,4.9,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City,128,1584,8.1,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-3.2
Ringarooma,Bass,10,301,3.3,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset,27,333,8.1,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-4.8
Riverside,Bass,204,2215,9.2,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-41.40936,147.09861,Rosevears,West Tamar,312,2275,13.7,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-4.5
Riverside West,Bass,101,1419,7.1,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar,156,1253,12.5,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-5.4
Rocherlea,Bass,20,701,2.9,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-41.378531,147.121503,Windermere,Launceston City,38,664,5.7,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-2.8
Scottsdale,Bass,39,1187,3.3,St Barnabas' Church Hall,"55 King St, SCOTTSDALE 7260",-41.16255,147.51491,McIntyre,Dorset,75,1773,4.2,St Barnabas' Church Hall,"55 King St, SCOTTSDALE 7260",-0.9
South Launceston,Bass,107,704,15.2,Launceston RSL,"313-315 Wellington St, LAUNCESTON 7250",-41.45296,147.14393,Rosevears,Launceston City,72,414,17.4,Launceston RSL,"313-315 Wellington St, LAUNCESTON 7250",-2.2
St Leonards,Bass,63,1224,5.1,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City,81,1154,7.0,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-1.9
Summerhill,Bass,189,2976,6.4,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-41.4683,147.12971,Rosevears,Launceston City,219,2967,7.4,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-1.0
Trevallyn,Bass,385,1592,24.2,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar,477,1658,28.8,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-4.6
Waverley,Bass,36,838,4.3,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City,61,795,7.7,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-3.4
West Launceston,Bass,365,1663,21.9,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City,455,1655,27.5,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-5.6
Weymouth,Bass,9,166,5.4,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town,22,162,13.6,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-8.2
Whitemark,Bass,54,335,16.1,Lions Club,"1 James St, WHITEMARK 7255",-40.1214,148.019,McIntyre,Flinders,61,322,18.9,Lions Club,"1 James St, WHITEMARK 7255",-2.8
Winnaleah,Bass,11,181,6.1,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.824,McIntyre,Dorset,11,189,5.8,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",0.3
Youngtown,Bass,61,1491,4.1,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City,118,1473,8.0,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-3.9
Abbotsham,Braddon,9,164,5.5,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.2135,146.174,Montgomery,Central Coast,9,151,6.0,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-0.5
Acton,Braddon,30,1352,2.2,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City,60,1496,4.0,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-1.8
Boat Harbour,Braddon,32,473,6.8,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard,58,367,15.8,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-9.0
Burnie,Braddon,67,1388,4.8,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City,132,1403,9.4,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-4.6
Calder,Braddon,2,143,1.4,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard,14,125,11.2,Calder Hall,"1320 Calder Rd, CALDER 7325",-9.8
Cooee,Braddon,31,913,3.4,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City,67,965,6.9,Cooee Primary School,"30 Fidler St, COOEE 7320",-3.5
Currie,Braddon,76,696,10.9,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island,55,634,8.7,Currie Town Hall,"10 George St, CURRIE 7256",2.2
Devonport Central,Braddon,75,1815,4.1,St Johns Parish Hall,"Fenton St, DEVONPORT 7310",-41.178994,146.358274,Mersey,Devonport City,123,1439,8.5,St Johns Parish Hall,"Fenton St, DEVONPORT 7310",-4.4
Devonport North West,Braddon,84,2431,3.5,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.1728,146.337,Mersey,Devonport City,156,2043,7.6,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-4.1
Devonport South,Braddon,41,1342,3.1,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.1893,146.349,Mersey,Devonport City,54,1037,5.2,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-2.1
Devonport West,Braddon,22,1178,1.9,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.1864,146.345,Mersey,Devonport City,47,1134,4.1,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-2.2
Don,Braddon,45,1202,3.7,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.1827,146.318,Mersey,Devonport City,76,1015,7.5,Don Memorial Hall,"17 Forth Rd, DON 7310",-3.8
East Devonport,Braddon,50,2033,2.5,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.1779,146.372,Mersey,Devonport City,85,1741,4.9,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-2.4
Edith Creek,Braddon,2,157,1.3,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.9705,145.092,Murchison,Circular Head,10,201,5.0,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-3.7
Elliott,Braddon,11,386,2.8,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.0922,145.782,Murchison,Waratah-Wynyard,21,315,6.7,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-3.9
Forest,Braddon,3,383,0.8,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.8486,145.248,Murchison,Circular Head,10,370,2.7,Forest Primary School,"422 Mengha Rd, FOREST 7330",-1.9
Forth,Braddon,44,682,6.5,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.192921,146.248975,Montgomery,Central Coast,109,769,14.2,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-7.7
Gawler,Braddon,14,466,3.0,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.1852,146.16,Montgomery,Central Coast,20,433,4.6,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-1.6
Grassy,Braddon,14,120,11.7,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.0484,144.058,Murchison,King Island,10,114,8.8,Grassy Club,"10 Grassy Rd, GRASSY 7256",2.9
Havenview,Braddon,13,440,3.0,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.0836,145.911,Montgomery,Burnie City,17,548,3.1,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-0.1
Heybridge,Braddon,9,266,3.4,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.0751,145.986,Montgomery,Central Coast,18,289,6.2,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-2.8
Highclere,Braddon,3,135,2.2,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.1904,145.806,Montgomery,Burnie City,7,167,4.2,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-2.0
Irishtown,Braddon,1,326,0.3,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.9133,145.145,Murchison,Circular Head,5,347,1.4,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-1.1
Latrobe,Braddon,59,2295,2.6,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe,124,2294,5.4,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-2.8
