PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Brighton,Lyons,56,2078,2.7,Brighton Primary School,"27 Downie St, BRIGHTON 7030",-42.6991,147.258,Derwent,Brighton,69,1951,3.5,Brighton Primary School,"27 Downie St, BRIGHTON 7030",-0.8
Broadmarsh,Lyons,10,221,4.5,Broadmarsh Hall,"1218 Elderslie Rd, BROADMARSH 7030",-42.6567,147.126,Prosser,Southern Midlands,25,179,14.0,Broadmarsh Hall,"1218 Elderslie Rd, BROADMARSH 7030",-9.5
Campania,Lyons,15,489,3.1,Campania Hall,"45 Reeve St, CAMPANIA 7026",-42.667109,147.421053,Prosser,Southern Midlands,29,477,6.1,Campania Hall,"45 Reeve St, CAMPANIA 7026",-3.0
Campbell Town,Lyons,23,670,3.4,Campbell Town Town Hall,"75 High St, CAMPBELL TOWN 7210",-41.926995,147.494438,Prosser,Northern Midlands,49,653,7.5,Campbell Town Town Hall,"75 High St, CAMPBELL TOWN 7210",-4.1
Carrick,Lyons,27,610,4.4,Carrick Public Hall,"29 Meander Valley Rd, CARRICK 7291",-41.530917,147.011259,McIntyre,Meander Valley,47,529,8.9,Carrick Public Hall,"29 Meander Valley Rd, CARRICK 7291",-4.5
Chudleigh,Lyons,31,267,11.6,Chudleigh Memorial Hall,"54 Sorell St, CHUDLEIGH 7304",-41.557239,146.481292,McIntyre,Meander Valley,47,259,18.1,Chudleigh Memorial Hall,"54 Sorell St, CHUDLEIGH 7304",-6.5
Claude Road,Lyons,56,383,14.6,Claude Road Memorial Hall,"787 Claude Rd, CLAUDE ROAD 7306",-41.4343,146.275,Montgomery,Kentish,76,378,20.1,Claude Road Memorial Hall,"787 Claude Rd, CLAUDE ROAD 7306",-5.5
Colebrook,Lyons,9,190,4.7,Colebrook Fire Station,"Colebrook Rd, COLEBROOK 7027",-42.531409,147.361399,Prosser,Southern Midlands,22,182,12.1,Colebrook Fire Station,"Colebrook Rd, COLEBROOK 7027",-7.4
Coles Bay,Lyons,30,194,15.5,Coles Bay Community Hall,"60 Harold St, COLES BAY 7215",-42.1249,148.286,Prosser,Glamorgan-Spring Bay,48,171,28.1,Coles Bay Community Hall,"60 Harold St, COLES BAY 7215",-12.6
Copping,Lyons,46,266,17.3,Copping Hall,"69 Allanby St, COPPING 7174",-42.819982,147.802747,Prosser,Sorell,99,378,26.2,Copping Hall,"69 Allanby St, COPPING 7174",-8.9
Cressy,Lyons,8,636,1.3,Cressy Community Hall,"67 Main St, CRESSY 7302",-41.685476,147.080745,McIntyre,Northern Midlands,30,620,4.8,Cressy Community Hall,"67 Main St, CRESSY 7302",-3.5
