PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Boat Harbour,48,354,13.6,Braddon,Murchison,Waratah-Wynyard,"17386 Bass Hwy, BOAT HARBOUR 7321",Boat Harbour Primary School,-40.9452,145.636
Burnie,96,636,15.1,Braddon,Murchison,Burnie City,"6 Jones St, BURNIE 7320",Burnie Senior Citizens Club Association,-41.052325,145.902449
Calder,19,197,9.6,Braddon,Murchison,Waratah-Wynyard,"1320 Calder Rd, CALDER 7325",Calder Hall,-41.0685,145.631
Cooee,72,692,10.4,Braddon,Murchison,Burnie City,"30 Fidler St, COOEE 7320",Cooee Primary School,-41.04076,145.86801
Currie,41,630,6.5,Braddon,Murchison,King Island,"10 George St, CURRIE 7256",Currie Town Hall,-39.9298,143.855
Devonport,62,681,9.1,Braddon,Mersey,Devonport City,"11 Addison St, DEVONPORT 7310",Addison Street Scout Hall,-41.1737,146.344
Devonport Central,122,944,12.9,Braddon,Mersey,Devonport City,"57A Stewart St, DEVONPORT 7310",Devonport Primary School,-41.18004,146.358108
Devonport North,24,158,15.2,Braddon,Mersey,Devonport City,"87-121 Watkinson St, DEVONPORT 7310",Don College,-41.168832,146.33393
Devonport North West,180,1948,9.2,Braddon,Mersey,Devonport City,"60 Nixon St, DEVONPORT 7310",Nixon Street Primary School,-41.1728,146.337
Devonport South,133,1359,9.8,Braddon,Mersey,Devonport City,"41-43 Middle Rd, DEVONPORT 7310",Reece High School,-41.1893,146.349
Devonport West,21,394,5.3,Braddon,Mersey,Devonport City,"3-11 Jiloa Way, DON 7310",Devonport Christian School,-41.181538,146.322415
Don,86,970,8.9,Braddon,Mersey,Devonport City,"17 Forth Rd, DON 7310",Don Memorial Hall,-41.1827,146.318
East Devonport,111,1494,7.4,Braddon,Mersey,Devonport City,"19-21 Thomas St, EAST DEVONPORT 7310",East Devonport Primary School,-41.1779,146.372
Edith Creek,7,162,4.3,Braddon,Murchison,Circular Head,"1282 Trowutta Rd, EDITH CREEK 7330",Edith Creek Primary School,-40.9705,145.092
Elliott,49,379,12.9,Braddon,Murchison,Waratah-Wynyard,"829 Murchison Hwy, ELLIOTT 7325",Elliott Community Centre,-41.0922,145.782
Forest,18,279,6.5,Braddon,Murchison,Circular Head,"422 Mengha Rd, FOREST 7330",Forest Primary School,-40.8486,145.248
Forth,58,489,11.9,Braddon,Montgomery,Central Coast,"45 Wilmot Rd, FORTH 7310",Forth Primary School,-41.192921,146.248975
Gawler,22,470,4.7,Braddon,Montgomery,Central Coast,"15 Top Gawler Rd, GAWLER 7315",Gawler Hall,-41.1852,146.16
Grassy,7,102,6.9,Braddon,Murchison,King Island,"6 Fern Tree Dr, GRASSY 7256",Grassy Fire Station,-40.048254,144.050797
Havenview,35,398,8.8,Braddon,Montgomery,Burnie City,"15 Marriott St, HAVENVIEW 7320",Havenview Primary School,-41.0836,145.911
Heybridge,21,285,7.4,Braddon,Montgomery,Central Coast,"Sice Ave, HEYBRIDGE 7316",Blythe Heads Hall,-41.0751,145.986
Highclere,11,150,7.3,Braddon,Montgomery,Burnie City,"1558 Ridgley Hwy, HIGHCLERE 7321",Highclere Community Centre,-41.1904,145.806
Latrobe,72,1045,6.9,Braddon,Mersey,Latrobe,"170 Gilbert St, LATROBE 7307",Latrobe Memorial Hall,-41.2365,146.415
Latrobe South,74,1227,6.0,Braddon,Mersey,Latrobe,"23 Lewis St, LATROBE 7307",Latrobe Primary School,-41.239619,146.416013
Marrawah,13,159,8.2,Braddon,Murchison,Circular Head,"844 Comeback Rd, MARRAWAH 7330",Marrawah Memorial Hall,-40.9229,144.697
Melrose,27,281,9.6,Braddon,Mersey,Devonport City,"673 Melrose Rd, MELROSE 7310",Melrose Memorial Hall,-41.2417,146.289
Montello,96,835,11.5,Braddon,Murchison,Burnie City,"83 Bird St, MONTELLO 7320",Montello Primary School,-41.0605,145.898
