PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Ulverstone South,117,2352,5.0,Braddon,Montgomery,Central Coast,"38 Leven St, ULVERSTONE 7315",Ulverstone High School,-41.162010,146.170910
West Ulverstone,64,1693,3.8,Braddon,Montgomery,Central Coast,"34 Maud St, WEST ULVERSTONE 7315",West Ulverstone Primary School,-41.148200,146.160000
Devonport West,40,1319,3.0,Braddon,Mersey,Devonport City,"20-36 Valley Rd, DEVONPORT 7310",TasTafe,-41.186400,146.345000
Wynyard West,98,1471,6.7,Braddon,Murchison,Waratah-Wynyard,"30 Church St, WYNYARD 7325",Wynyard High School,-40.986700,145.717000
Wivenhoe,26,654,4.0,Braddon,Montgomery,Burnie City,"Stowport Rd, WIVENHOE 7320",Leighland Christian School (Wivenhoe Campus),-41.069040,145.936090
Wynyard Central,99,2031,4.9,Braddon,Murchison,Waratah-Wynyard,"28 Jackson St, WYNYARD 7325",Wynyard Senior Citizens Club Rooms,-40.990900,145.729000
Yolla,22,396,5.6,Braddon,Murchison,Waratah-Wynyard,"School Lane, YOLLA 7325",Yolla District High School,-41.123700,145.719000
Latrobe,93,2478,3.8,Braddon,Mersey,Latrobe,"170 Gilbert St, LATROBE 7307",Latrobe Memorial Hall,-41.236500,146.415000
Queenstown,23,778,3.0,Braddon,Murchison,West Coast,"53 Orr St, QUEENSTOWN 7467",Queenstown Memorial Hall,-42.080200,145.558000
Rosebery,8,354,2.3,Braddon,Murchison,West Coast,"8 Agnes St, ROSEBERY 7470",Rosebery Neighbourhood Centre,-41.779832,145.539126
Savage River,0,88,0.0,Braddon,Murchison,Waratah-Wynyard,"45 Corinna Rd, SAVAGE RIVER 7321",Grange Resources Lodge,-41.511900,145.219000
Strahan,9,365,2.5,Braddon,Murchison,West Coast,"2 Bay St, STRAHAN 7468",Strahan Primary School,-42.154043,145.320404
Tullah,2,110,1.8,Braddon,Murchison,West Coast,"24 Farrell St, TULLAH 7321",Tullah Community Hall,-41.737568,145.616076
Waratah,4,127,3.1,Braddon,Murchison,Waratah-Wynyard,"12-14 Smith St, WARATAH 7321",Waratah Municipal Chambers,-41.444220,145.531300
Zeehan,5,360,1.4,Braddon,Murchison,West Coast,"7 Belstead St, ZEEHAN 7469",Zeehan Primary School,-41.888000,145.340000
Devonport South,42,1306,3.2,Braddon,Mersey,Devonport City,"41-43 Middle Rd, DEVONPORT 7310",Reece High School,-41.189300,146.349000
Romaine,48,1559,3.1,Braddon,Montgomery,Burnie City,"cnr Roslyn Ave & Mount St, ROMAINE 7320",Romaine Park Primary School,-41.076634,145.899584
