PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Mount Nelson,Clark,399,1348,29.6,4.7,Mt Nelson Primary School,"388 Nelson Rd, MOUNT NELSON 7007",-42.9136,147.32299999999998,Nelson,Hobart City
Mount Stuart,Clark,321,1044,30.7,3.8,Mt Stuart Primary School,"106 Gillon Cres, MOUNT STUART 7000",-42.875,147.299,Hobart,Hobart City
New Town,Clark,335,1116,30.0,4.7,The Friends School,"393 Argyle St, NORTH HOBART 7000",-42.867,147.316,Hobart,Hobart City
New Town West,Clark,488,2120,23.0,2.2,Sacred Heart College,"67 Clare St, NEW TOWN 7008",-42.8615,147.304,Hobart,Hobart City
North Hobart Central,Clark,488,1433,34.1,4.7,Hobart North Uniting Church,"2 Swan St, NORTH HOBART 7000",-42.8728,147.314,Hobart,Hobart City
Roseneath,Clark,64,748,8.6,4.5,Austins Ferry Primary School,"13 Brodie St, CLAREMONT 7011",-42.78618,147.240549,Derwent,Glenorchy City
Rosetta,Clark,117,777,15.1,,Rosetta Primary School,"32 Riverview Pde, ROSETTA 7010",-42.821437,147.258738,Elwick,Glenorchy City
Sandfly (Clark),Clark,76,322,23.6,,Sandfly Hall,"811 Sandfly Rd, SANDFLY 7150",-42.985,147.196,Huon,Kingborough
Sandy Bay,Clark,272,1132,24.0,5.0,Wellspring Anglican Church Hall,"43 Grosvenor St, SANDY BAY 7005",-42.8992,147.327,Nelson,Hobart City
Sandy Bay Beach,Clark,84,623,13.5,2.9,Harold Gregg Centre,"1 Southerwood Dr, SANDY BAY 7005",-42.9138,147.355,Nelson,Hobart City
South Hobart,Clark,493,1317,37.4,3.3,St Francis Xavier's Church Hall,"34 Anglesea St, SOUTH HOBART 7004",-42.8949,147.312,Hobart,Hobart City
Taroona,Clark,574,1517,37.8,2.7,Taroona Primary School,"104 Channel Hwy, TAROONA 7053",-42.943302,147.35273700000005,Nelson,Hobart City
Waimea Heights,Clark,189,937,20.2,5.2,Waimea Heights Primary School,"12 Balfour Ct, SANDY BAY 7005",-42.909011,147.33674,Nelson,Hobart City
West Hobart,Clark,308,882,34.9,7.6,St Mary's College,"164 Harrington St, HOBART 7000",-42.881216,147.320448,Hobart,Hobart City
West Hobart Central,Clark,616,1772,34.8,3.4,Lansdowne Crescent Primary School,"15 Gourlay St, WEST HOBART 7000",-42.8819,147.309,Hobart,Hobart City
West Hobart South,Clark,401,982,40.8,4.5,Goulburn Street Primary School,"Forest Rd, WEST HOBART 7000",-42.8878,147.317,Hobart,Hobart City
Windermere,Clark,113,1774,6.4,2.2,Windermere Primary School,"2 Cadbury Rd, CLAREMONT 7011",-42.80013,147.259102,Derwent,Glenorchy City
Adventure Bay,Franklin,43,173,24.9,3.4,Adventure Bay Hall,"Adventure Bay Rd, ADVENTURE BAY 7150",-43.3458,147.321,Huon,Kingborough
Alonnah,Franklin,68,285,23.9,2.8,Bruny Island District School,"15 School Rd, ALONNAH 7150",-43.31807,147.24445500000004,Huon,Kingborough
